id,name,ref_url,data
23,hyenaSpotted,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": false, ""name"": ""hyenaSpotted"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
24,hyenaStriped,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": false, ""name"": ""hyenaStriped"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
25,impala,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""impala"", ""ref_url"": """", ""grazer"": true, ""MSMix"": true, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": false, ""browser"": true}"
26,jackal,,"{""omnivore"": true, ""carnivore"": true, ""LBr"": false, ""insectivore"": true, ""name"": ""jackal"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
27,koriBustard,,"{""omnivore"": true, ""carnivore"": true, ""LBr"": false, ""insectivore"": true, ""name"": ""koriBustard"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
28,leopard,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": false, ""name"": ""leopard"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
29,lionFemale,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": false, ""name"": ""lionFemale"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
30,lionMale,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": false, ""name"": ""lionMale"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
31,mongoose,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": true, ""name"": ""mongoose"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
32,ostrich,,"{""omnivore"": true, ""carnivore"": false, ""LBr"": false, ""insectivore"": true, ""name"": ""ostrich"", ""ref_url"": """", ""grazer"": true, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": false, ""browser"": true}"
33,otherBird,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""otherBird"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
34,porcupine,,"{""omnivore"": true, ""carnivore"": false, ""LBr"": false, ""insectivore"": true, ""name"": ""porcupine"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": false, ""browser"": false}"
35,reedbuck,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""reedbuck"", ""ref_url"": """", ""grazer"": true, ""MSMix"": true, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": false, ""browser"": true}"
36,reptiles,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": true, ""name"": ""reptiles"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
37,rhinoceros,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""rhinoceros"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": true, ""browser"": true}"
38,rodents,,"{""omnivore"": true, ""carnivore"": false, ""LBr"": false, ""insectivore"": true, ""name"": ""rodents"", ""ref_url"": """", ""grazer"": true, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": false, ""browser"": true}"
39,secretaryBird,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": true, ""name"": ""secretaryBird"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
40,serval,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": false, ""name"": ""serval"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
41,topi,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""topi"", ""ref_url"": """", ""grazer"": true, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": true, ""herbivore"": true, ""Nrum"": false, ""browser"": false}"
42,vervetMonkey,,"{""omnivore"": true, ""carnivore"": false, ""LBr"": false, ""insectivore"": true, ""name"": ""vervetMonkey"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
43,warthog,,"{""omnivore"": true, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""warthog"", ""ref_url"": """", ""grazer"": true, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": true, ""browser"": true}"
44,waterbuck,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""waterbuck"", ""ref_url"": """", ""grazer"": true, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": true, ""herbivore"": true, ""Nrum"": false, ""browser"": false}"
45,wildcat,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": true, ""name"": ""wildcat"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
46,wildebeest,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""wildebeest"", ""ref_url"": """", ""grazer"": true, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": true, ""herbivore"": true, ""Nrum"": false, ""browser"": false}"
47,zebra,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""zebra"", ""ref_url"": """", ""grazer"": true, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": true, ""browser"": false}"
48,zorilla,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": true, ""name"": ""zorilla"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
49,NOTHING,,"{""name"":""nothing""}"
50,cattle,,"{""name"":""cattle""}"
51,kudu,,"{""name"":""kudu""}"
